,R_Wavelength,S_Wavelength,T_Wavelength,U_Wavelength,V_Wavelength,W_Wavelength,With_Label,Bottle_Material
204,69.3,24.48,5.53,3.02,5.14,4.67,0,1
205,67.85,24.48,5.53,3.02,5.14,4.67,0,1
206,67.85,24.48,5.53,3.02,5.14,4.6,0,1
207,67.85,24.48,5.53,3.02,5.14,4.67,0,1
208,67.85,24.48,5.53,3.02,5.14,4.67,0,1
209,67.85,24.48,5.53,3.02,5.14,4.67,0,1
210,28.87,8.16,2.21,1.01,3.08,1.17,0,1
211,28.87,8.16,2.21,1.01,3.08,1.17,0,1
212,28.87,8.16,2.21,1.01,3.08,1.17,0,1
213,27.43,8.16,2.21,1.01,3.08,1.17,0,1
214,27.43,8.16,2.21,1.01,3.08,1.17,0,1
215,27.43,8.16,2.21,1.01,3.08,1.17,0,1
216,27.43,8.16,2.21,1.01,3.08,1.17,0,1
217,27.43,8.16,2.21,1.01,3.08,1.17,0,1
218,27.43,8.16,2.21,1.01,3.08,1.17,0,1
219,27.43,8.16,2.21,1.01,3.08,1.17,0,1
220,25.99,5.1,2.21,1.01,2.06,1.17,0,1
221,25.99,5.1,2.21,1.01,2.06,1.17,0,1
222,25.99,5.1,2.21,1.01,2.06,1.17,0,1
223,25.99,5.1,2.21,1.01,2.06,1.1,0,1
224,25.99,5.1,2.21,1.01,2.06,1.17,0,1
225,25.99,5.1,2.21,1.01,2.06,1.17,0,1
226,25.99,5.1,2.21,1.01,2.06,1.17,0,1
227,25.99,5.1,2.21,1.01,2.06,1.1,0,1
228,25.99,5.1,2.21,1.01,2.06,1.17,0,1
229,25.99,5.1,2.21,1.01,2.06,1.17,0,1
230,92.39,26.52,8.84,5.04,9.25,4.67,0,1
231,92.39,26.52,8.84,5.04,9.25,4.67,0,1
232,92.39,26.52,8.84,5.04,9.25,4.0,0,1
233,92.39,26.52,8.84,5.04,9.25,4.67,0,1
234,92.39,26.52,8.84,5.04,9.25,4.67,0,1
235,92.39,26.52,8.84,5.04,9.25,4.67,0,1
236,92.39,26.52,8.84,4.03,9.25,4.6,0,1
237,92.39,26.52,8.84,5.04,9.25,4.67,0,1
238,92.39,26.52,8.84,5.04,9.25,4.67,0,1
239,92.39,26.52,8.84,5.04,9.25,4.67,0,1
240,23.1,6.12,2.21,1.01,2.06,1.17,0,1
241,23.1,6.12,2.21,1.01,2.06,1.1,0,1
242,23.1,6.12,2.21,1.01,2.06,1.17,0,1
243,23.1,6.12,2.21,1.01,2.06,1.17,0,1
244,23.1,6.12,2.21,1.01,2.06,1.17,0,1
245,23.1,6.12,2.21,1.01,2.06,1.1,0,1
246,23.1,6.12,2.21,1.01,2.06,1.17,0,1
247,23.1,6.12,2.21,1.01,2.06,1.17,0,1
248,23.1,6.12,2.21,1.01,2.06,1.17,0,1
249,23.1,6.12,2.21,1.01,2.06,1.17,0,1
250,64.96,23.46,5.53,3.02,7.2,3.5,0,1
251,64.96,24.48,5.53,3.02,8.22,3.5,0,1
252,64.96,24.48,5.53,3.02,8.22,3.5,0,1
253,64.96,24.48,5.53,3.02,8.22,3.5,0,1
254,64.96,24.48,5.53,3.02,8.22,3.55,0,1
255,64.96,24.48,5.53,3.02,8.22,3.5,0,1
256,64.96,24.48,5.53,4.03,8.22,3.5,0,1
257,64.96,24.48,5.53,4.03,8.22,3.5,0,1
258,64.96,25.5,5.53,3.02,8.22,3.5,0,1
259,64.96,21.42,5.53,3.02,7.2,3.5,0,1
260,28.87,6.12,2.21,1.01,2.06,1.17,0,1
261,28.87,6.12,2.21,1.01,2.06,1.1,0,1
262,28.87,6.12,2.21,1.01,2.06,1.17,0,1
263,28.87,6.12,2.21,1.01,2.06,1.17,0,1
264,28.87,6.12,2.21,1.01,2.06,1.17,0,1
265,28.87,6.12,2.21,1.01,2.06,1.17,0,1
266,28.87,6.12,2.21,1.01,2.06,1.17,0,1
267,28.87,6.12,2.21,1.01,2.06,1.17,0,1
268,28.87,6.12,2.21,1.01,2.06,1.17,0,1
269,28.87,6.12,2.21,1.01,2.06,1.1,0,1
270,242.53,5.1,3.32,1.01,2.06,1.17,0,1
271,242.53,5.1,3.32,1.01,2.06,1.17,0,1
272,242.53,5.1,3.32,1.01,2.06,1.17,0,1
273,242.53,5.1,3.32,1.01,2.06,1.17,0,1
274,242.53,5.1,3.32,1.01,2.06,1.1,0,1
275,242.53,5.1,3.32,1.01,2.06,1.17,0,1
276,242.53,5.1,3.32,1.01,2.06,1.17,0,1
277,242.53,5.1,3.32,1.01,2.06,1.1,0,1
278,242.53,5.1,3.32,1.01,2.06,1.17,0,1
279,242.53,5.1,3.32,1.01,2.06,1.17,0,1
280,651.09,147.88,42.01,21.16,29.81,19.5,0,1
281,651.09,147.88,42.01,21.16,29.81,19.5,0,1
282,651.09,147.88,42.01,21.16,29.81,19.5,0,1
283,651.09,147.88,42.01,21.16,29.81,19.5,0,1
284,651.09,147.88,42.01,21.16,29.81,19.5,0,1
285,651.09,147.88,42.01,21.16,29.81,19.85,0,1
286,651.09,147.88,42.01,21.16,29.81,19.5,0,1
287,651.09,147.88,42.01,21.16,29.81,19.85,0,1
288,651.09,147.88,42.01,21.16,29.81,19.5,0,1
289,651.09,147.88,42.01,21.16,29.81,19.5,0,1
290,31.76,7.14,2.21,1.01,2.06,1.17,0,1
291,31.76,7.14,2.21,1.01,2.06,1.17,0,1
292,30.32,7.14,2.21,1.01,2.06,1.17,0,1
293,31.76,7.14,2.21,1.01,2.06,1.17,0,1
294,30.32,7.14,2.21,1.01,2.06,1.17,0,1
295,31.76,7.14,2.21,1.01,2.06,1.17,0,1
296,30.32,7.14,2.21,1.01,2.06,1.17,0,1
297,30.32,7.14,2.21,1.01,2.06,1.17,0,1
298,31.76,7.14,2.21,1.01,2.06,1.1,0,1
299,31.76,7.14,2.21,1.01,2.06,1.17,0,1
300,626.54,110.15,30.95,16.13,31.87,19.5,1,1
301,626.54,109.13,30.95,16.13,31.87,19.5,1,1
302,626.54,110.15,30.95,16.13,31.87,19.5,1,1
303,626.54,110.15,30.95,16.13,31.87,19.5,1,1
304,623.66,109.13,30.95,16.13,31.87,19.5,1,1
305,627.99,110.15,30.95,16.13,31.87,19.5,1,1
306,627.99,110.15,30.95,16.13,31.87,19.5,1,1
307,629.43,110.15,30.95,16.13,31.87,19.5,1,1
308,630.87,110.15,30.95,16.13,31.87,19.85,1,1
309,630.87,110.15,30.95,16.13,31.87,19.5,1,1
310,259.86,52.01,15.48,8.06,11.31,7.01,1,1
311,259.86,52.01,15.48,8.06,11.31,7.01,1,1
312,256.97,50.99,15.48,7.05,11.31,7.01,1,1
313,258.41,50.99,15.48,7.05,11.31,7.01,1,1
314,259.86,52.01,15.48,8.06,11.31,7.01,1,1
315,261.3,52.01,15.48,8.06,11.31,7.01,1,1
316,261.3,52.01,15.48,8.06,11.31,7.01,1,1
317,261.3,52.01,15.48,8.06,11.31,7.01,1,1
318,261.3,52.01,15.48,8.06,11.31,7.01,1,1
319,261.3,50.99,15.48,8.06,11.31,7.01,1,1
320,2498.95,282.51,86.22,46.36,106.92,49.5,1,1
321,2527.83,282.51,87.33,46.36,106.92,50.5,1,1
322,2519.16,281.49,87.33,46.36,105.89,50.2,1,1
323,2520.61,281.49,87.33,46.36,105.89,50.5,1,1
324,2524.94,282.51,87.33,46.36,106.92,50.5,1,1
325,2517.72,282.51,87.33,46.36,106.92,50.5,1,1
326,2516.28,282.51,87.33,46.36,106.92,50.5,1,1
327,2513.39,281.49,87.33,46.36,105.89,50.5,1,1
328,2511.95,280.47,87.33,46.36,105.89,50.5,1,1
329,2511.95,280.47,87.33,46.36,105.89,50.5,1,1
330,984.57,184.6,58.59,32.25,47.29,25.5,1,1
331,984.57,184.6,58.59,32.25,47.29,25.69,1,1
332,983.12,184.6,58.59,32.25,47.29,25.5,1,1
333,983.12,184.6,58.59,32.25,47.29,25.5,1,1
334,983.12,184.6,58.59,32.25,47.29,25.5,1,1
335,984.57,184.6,58.59,32.25,47.29,25.5,1,1
336,984.57,184.6,58.59,32.25,47.29,25.5,1,1
337,983.12,184.6,58.59,32.25,47.29,25.5,1,1
338,984.57,184.6,58.59,32.25,47.29,25.69,1,1
339,984.57,184.6,58.59,32.25,47.29,25.5,1,1
340,506.72,68.33,24.32,16.13,31.87,16.0,1,1
341,506.72,69.35,24.32,16.13,31.87,16.0,1,1
342,505.28,68.33,24.32,16.13,31.87,16.0,1,1
343,505.28,68.33,24.32,16.13,31.87,16.0,1,1
344,505.28,69.35,24.32,16.13,31.87,16.0,1,1
345,505.28,69.35,24.32,16.13,31.87,16.0,1,1
346,505.28,68.33,24.32,16.13,31.87,16.0,1,1
347,505.28,69.35,25.43,16.13,31.87,16.0,1,1
348,505.28,69.35,24.32,16.13,31.87,16.0,1,1
349,505.28,69.35,24.32,16.13,31.87,16.0,1,1
350,321.93,62.21,19.9,10.08,14.39,8.17,1,1
351,320.49,62.21,19.9,10.08,14.39,8.17,1,1
352,320.49,62.21,19.9,10.08,14.39,8.1,1,1
353,320.49,62.21,19.9,10.08,14.39,8.17,1,1
354,320.49,62.21,19.9,10.08,14.39,8.17,1,1
355,320.49,62.21,19.9,10.08,14.39,8.17,1,1
356,320.49,62.21,19.9,10.08,14.39,8.17,1,1
357,300.28,39.78,18.79,9.07,9.25,7.01,1,1
358,320.49,62.21,19.9,10.08,14.39,8.17,1,1
359,166.02,32.64,9.95,5.04,7.2,3.5,1,1
360,20.21,6.12,2.21,1.01,2.06,1.17,1,1
361,18.77,7.14,2.21,1.01,1.03,1.17,1,1
362,18.77,7.14,2.21,1.01,1.03,1.17,1,1
363,18.77,7.14,2.21,1.01,1.03,1.17,1,1
364,18.77,7.14,2.21,1.01,1.03,1.1,1,1
365,18.77,7.14,2.21,1.01,1.03,1.17,1,1
366,18.77,7.14,2.21,1.01,1.03,1.17,1,1
367,18.77,7.14,2.21,1.01,1.03,1.17,1,1
368,18.77,7.14,2.21,1.01,1.03,1.1,1,1
369,18.77,7.14,2.21,1.01,1.03,1.17,1,1
370,938.37,193.78,54.17,33.26,54.49,33.5,1,1
371,938.37,193.78,54.17,33.26,54.49,33.5,1,1
372,938.37,193.78,54.17,33.26,54.49,33.5,1,1
373,938.37,193.78,54.17,33.26,54.49,32.5,1,1
374,938.37,193.78,54.17,33.26,54.49,32.5,1,1
375,938.37,193.78,54.17,33.26,54.49,32.5,1,1
376,938.37,193.78,54.17,33.26,54.49,32.5,1,1
377,938.37,193.78,54.17,33.26,54.49,32.69,1,1
378,938.37,193.78,54.17,33.26,54.49,32.5,1,1
379,938.37,193.78,54.17,33.26,54.49,32.5,1,1
380,105.39,17.34,6.63,3.02,6.17,2.3,1,1
381,103.94,17.34,6.63,3.02,6.17,2.34,1,1
382,103.94,17.34,6.63,3.02,6.17,2.34,1,1
383,103.94,17.34,6.63,3.02,6.17,2.34,1,1
384,103.94,17.34,6.63,3.02,6.17,2.34,1,1
385,103.94,17.34,6.63,3.02,6.17,2.34,1,1
386,103.94,17.34,6.63,3.02,6.17,2.3,1,1
387,103.94,17.34,6.63,3.02,6.17,2.34,1,1
388,103.94,17.34,6.63,3.02,6.17,2.34,1,1
389,103.94,17.34,6.63,3.02,6.17,2.34,1,1
390,51.97,7.14,2.21,1.01,3.08,1.17,1,1
391,51.97,7.14,2.21,1.01,3.08,1.1,1,1
392,51.97,7.14,2.21,1.01,3.08,1.17,1,1
393,51.97,7.14,2.21,1.01,3.08,1.17,1,1
394,51.97,7.14,2.21,1.01,3.08,1.17,1,1
395,51.97,7.14,2.21,1.01,3.08,1.17,1,1
396,51.97,7.14,2.21,1.01,3.08,1.17,1,1
397,51.97,7.14,2.21,1.01,3.08,1.17,1,1
398,51.97,7.14,2.21,1.01,3.08,1.17,1,1
399,51.97,7.14,2.21,1.01,3.08,1.1,1,1
